"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
3787624,"       (2017 US2)",1.752,0.4509,0.98,218.29,129.85,0.962,2.54,2.32,2,9,24,,,26.10
3787626,"       (2017 UT2)",0.9833,0.1196,11.14,27.31,214.35,0.866,1.10,0.975,384,2,55,,,24.60
3787627,"       (2017 UU2)",1.82,0.5265,1.69,221.59,222.03,0.862,2.78,2.46,3,8,28,,,26.40
3787632,"       (2017 UC3)",1.62,0.6748,46.13,209.09,283.09,0.527,2.71,2.06,4,9,29,,,22.70
3787634,"       (2017 UD3)",2.395,0.6072,43.47,208.24,230.72,0.941,3.85,3.71,9,8,55,,,23.60
3787629,"       (2017 UE3)",1.959,0.6111,2.12,13.40,86.41,0.762,3.16,2.74,4,8,55,,,25.40
3787630,"       (2017 UF3)",1.481,0.3097,14.44,210.64,145.98,1.022,1.94,1.8,2,8,25,,,26.20
3787628,"       (2017 UG3)",1.591,0.3690,0.57,3.29,49.35,1.004,2.18,2.01,6,8,18,,,27.20
3787633,"       (2017 UH3)",1.798,0.6444,3.40,229.32,62.31,0.640,2.96,2.41,1642,1,58,,,22.30
3787631,"       (2017 UJ3)",1.858,0.6238,1.62,116.54,190.70,0.699,3.02,2.53,5,8,35,,,23.80
3787635,"       (2017 UK3)",1.981,0.5892,1.01,37.08,52.90,0.814,3.15,2.79,3,7,28,,,26.90
3788007,"       (2017 UQ4)",2.695,0.6201,11.69,184.44,212.38,1.024,4.37,4.42,61,7,31,,,24.00
3788009,"       (2017 UR4)",1.465,0.3568,21.74,211.12,311.15,0.943,1.99,1.77,3262,0,80,,,20.60
3788008,"       (2017 US4)",1.405,0.2170,9.69,204.76,318.08,1.100,1.71,1.66,3661,3,38,,,21.50
3788010,"       (2017 UT4)",1.382,0.2630,5.55,29.57,56.27,1.019,1.75,1.63,21,7,21,,,25.50
3788011,"       (2017 UU4)",2.465,0.5688,16.32,27.27,301.91,1.063,3.87,3.87,7,9,15,,,23.20
3788012,"       (2017 UV4)",1.765,0.6238,10.18,138.01,1.47,0.664,2.87,2.35,47,6,38,,,20.10
3788013,"       (2017 UW4)",1.823,0.3820,12.26,82.71,325.91,1.127,2.52,2.46,95,4,43,,,22.40
3788015,"       (2017 UX4)",1.297,0.4970,24.61,50.83,240.47,0.653,1.94,1.48,31,7,50,,,22.40
3788016,"       (2017 UY4)",1.187,0.1646,3.78,202.08,253.43,0.992,1.38,1.29,142,4,78,,,25.20
3788014,"       (2017 UZ4)",2.761,0.5913,14.51,224.11,146.05,1.128,4.39,4.59,109,4,173,,,19.60
3788017,"       (2017 UA5)",2.3,0.4708,9.06,267.23,9.32,1.217,3.38,3.49,21,7,38,,,18.70
3788021,"       (2017 UB5)",1.886,0.3274,1.88,338.86,97.23,1.269,2.50,2.59,53,5,64,,,21.80
3788020,"       (2017 UC5)",2.338,0.4509,6.98,229.49,216.43,1.284,3.39,3.58,86,5,61,,,21.60
3788019,"       (2017 UD5)",1.168,0.1540,10.72,21.18,326.28,0.988,1.35,1.26,4,7,39,,,25.90
3788018,"       (2017 UE5)",1.993,0.5948,6.04,234.38,232.71,0.807,3.18,2.81,15,8,65,,,22.90
3788022,"       (2017 UF5)",2.27,0.4369,7.41,211.47,112.49,1.279,3.26,3.42,30,6,50,,,20.10
3788026,"       (2017 UG5)",0.9862,0.1943,13.21,30.69,239.61,0.795,1.18,0.979,7,7,29,,,26.30
3788025,"       (2017 UH5)",1.313,0.2299,9.03,30.39,343.25,1.011,1.61,1.5,1103,0,64,,,26.60
3788023,"       (2017 UJ5)",1.162,0.1048,11.59,33.75,357.10,1.040,1.28,1.25,25,7,63,,,24.70
3788024,"       (2017 UK5)",2.458,0.5859,2.73,36.14,346.24,1.018,3.90,3.85,6,7,49,,,25.90
3788027,"       (2017 UL5)",2.263,0.5629,3.40,30.99,348.12,0.989,3.54,3.4,9,8,39,,,26.40
3788029,"       (2017 UM5)",2.121,0.6665,5.63,27.21,79.38,0.707,3.53,3.09,4,7,65,,,25.60
3788028,"       (2017 UN5)",1.808,0.4506,2.39,27.65,338.93,0.993,2.62,2.43,4,7,40,,,27.60
3788030,"       (2017 UO5)",1.937,0.5640,2.84,209.59,120.75,0.845,3.03,2.7,5,7,37,,,26.90
3788035,"       (2017 UP5)",2.492,0.5972,10.97,209.91,196.07,1.004,3.98,3.93,3,7,42,,,27.60
3788036,"       (2017 UQ5)",1.488,0.2969,6.14,30.22,354.18,1.047,1.93,1.82,4,8,30,,,26.90
3788032,"       (2017 UR5)",1.186,0.2078,12.40,29.87,307.86,0.940,1.43,1.29,2,6,30,,,28.70
3788034,"       (2017 US5)",1.564,0.3473,12.26,29.91,327.46,1.021,2.11,1.96,4,8,27,,,26.50
3788033,"       (2017 UT5)",1.605,0.3513,1.93,33.65,354.23,1.041,2.17,2.03,9,7,35,,,27.10
3788031,"       (2017 UU5)",2.484,0.5759,2.76,31.28,352.62,1.054,3.92,3.92,3,8,26,,,26.90
3788039,"       (2017 UV5)",2.49,0.4865,14.90,42.45,314.29,1.279,3.70,3.93,37,6,49,,,21.40
